State,Convenes 2027,Adjourns 2027,Convened 2025,Adjourned 2025,Convened 2023,Adjourned 2023,Session Length Limit,Method of Setting
Alabama,,,2/4/2025,5/14/2025,3/7/2023,6/6/2023,30 Legislative days in 105 Calendar days,Statute
Alaska,,,1/21/2025,5/20/2025,1/17/2023,5/17/2023,90 Calendar days (but really 121 -GS),Statute
Arizona,,,1/13/2025,6/27/2025,1/9/2023,7/31/2023,Sat of week in which 100th Calendar day falls,Chamber rule
Arkansas,,,1/13/2025,5/5/2025,1/9/2023,5/1/2023,"Odd-60 Calendar day
 Even-30 Calendar day",Constitution
California,,,12/2/2024,9/13/2025,12/5/2022,9/14/2023,"Odd-None
 Even-Nov 30
 Odd-Sept 12
 Even-Aug 31","Constitution
  
  
 Chamber Rule"
Colorado,1/11/2027,5/10/2027,1/8/2025,5/7/2025,1/9/2023,5/8/2023,120 Calendar days,Constitution
Connecticut,,,1/8/2025,6/4/2025,1/4/2023,6/7/2023,"Odd-Wed after 1st Mon in June
 Even- Wed after 1st Mon in May",Constitution
Delaware,,,1/14/2025,6/30/2025,1/10/2023,6/30/2023,June 30,Constitution
Florida,,,3/4/2025,6/16/2025,3/7/2023,5/5/2023,60 Calendar days,Constitution
Georgia,,,1/13/2025,4/4/2025,1/9/2023,3/29/2023,40 Legislative days,Constitution
Hawaii,,,1/15/2025,5/2/2025,1/18/2023,5/4/2023,60 Legislative days,Constitution
Idaho,,,1/6/2025,4/4/2025,1/9/2023,4/6/2023,None,Not applicable
Illinois,,,1/8/2025,5/31/2025,1/11/2023,5/27/2023,None,Not applicable
Indiana,1/5/2027,4/22/2027,1/8/2025,4/24/2025,1/9/2023,4/28/2023,"Odd-Apr 29
 Even-Mar 14",Statute
Iowa,,,1/13/2025,5/14/2025,1/9/2023,5/4/2023,"Odd-110 Calendar days
 Even-100 Calendar days",Indirect
Kansas,,,1/13/2025,4/11/2025,1/9/2023,4/28/2023,"Odd-None
 Even-90 Calendar days",Constitution
Kentucky,,,1/7/2025,3/28/2025,1/3/2023,3/30/2023,"Odd: 30 Legislative days or Mar 30
 Even:60 Legislative days or Apr 15",Constitution
Louisiana,4/12/2027,6/10/2027,4/14/2025,6/12/2025,4/10/2023,6/8/2023,"Odd-45 Legislative days in 60 Calendar days
 Even-60 Legislative days in 85 Calendar days",Constitution
Maine,,,12/4/2024,3/21/2025,12/7/2022,3/30/2023,"Odd-3rd Wed in June
 Even-3rd Wed in Apr",Statute
Maryland,,,1/8/2025,4/7/2025,1/11/2023,4/10/2023,90 Calendar days,Constitution
Massachusetts,,,1/1/2025,11/19/2025,1/4/2023,11/15/2023,"Formal sessions:
 Odd-3rd Wed in November
 Even-July 31
 Informal sessions: None",Chamber rule
Michigan,,,1/8/2025,12/31/2025,1/11/2023,11/14/2023,None,Not applicable
Minnesota,,,1/14/2025,5/19/2025,1/3/2023,5/22/2023,120 Legislative days total within biennium or 1st Mon after 3rd Sat in May each year,Constitution
Mississippi,,,1/7/2025,4/3/2025,1/3/2023,4/1/2023,"90 Calendar days except year after gubernatorial election, then 125 Calendar days",Constitution
Missouri,,,1/8/2025,5/15/2025,1/4/2023,5/12/2023,May 30,Constitution
Montana,,,1/6/2025,4/30/2025,1/2/2023,5/2/2023,Biennial session; 90 Legislative days,Constitution
Nebraska,,,1/8/2025,6/2/2025,1/4/2023,6/1/2023,"Odd-90 Legislative days
 Even-60 Legislative days",Constitution
Nevada,,,2/3/2025,6/2/2025,2/6/2023,6/5/2023,Biennial session ; 120 Calendar days,Constitution
New Hampshire,,,1/8/2025,6/26/2025,1/4/2023,6/29/2023,45 Legislative days or July 1,Indirect
New Jersey,1/13/2026,12/31/2027,1/14/2025,1/12/2026,1/10/2023,1/8/2024,None,Not applicable
New Mexico,1/19/2027,3/20/2027,1/21/2025,3/22/2025,1/17/2023,3/18/2023,"Odd-60 Calendar days
 Even-30 Calendar days",Constitution
New York,,,1/8/2025,6/17/2025,1/4/2023,6/21/2023,None,Not applicable
North Carolina,,,1/8/2025,12/31/2025,1/11/2023,10/25/2023,None,Not applicable
North Dakota,,,1/7/2025,5/3/2025,1/3/2023,4/29/2023,Biennial session ; 80 Legislative days,Constitution
Ohio,,,1/6/2025,12/31/2025,1/2/2023,12/31/2024,None,Not applicable
