geoname,lntitle,geoid,lnnumber,tot_est,tot_moe,adu_est,adu_moe,cit_est,cit_moe,cvap_est,cvap_moe
"Congressional District 1 (119th Congress), Alabama",Total,5001900US0101,1,735406,2960,570378,2085,723008,3245,559435,2209
"Congressional District 1 (119th Congress), Alabama",Not Hispanic or Latino,5001900US0101,2,697878,2900,546355,2112,692257,3013,541630,2133
"Congressional District 1 (119th Congress), Alabama",American Indian or Alaska Native Alone,5001900US0101,3,3322,347,2704,259,3315,348,2697,260
"Congressional District 1 (119th Congress), Alabama",Asian Alone,5001900US0101,4,9402,750,7201,532,7742,631,5603,446
"Congressional District 1 (119th Congress), Alabama",Black or African American Alone,5001900US0101,5,117993,2874,87763,1711,117006,2930,87067,1735
"Congressional District 1 (119th Congress), Alabama",Native Hawaiian or Other Pacific Islander Alone,5001900US0101,6,231,128,212,117,226,128,203,117
"Congressional District 1 (119th Congress), Alabama",White Alone,5001900US0101,7,543937,2915,435629,2209,541006,3026,433233,2251
"Congressional District 1 (119th Congress), Alabama",American Indian or Alaska Native and White,5001900US0101,8,7967,412,6326,294,7969,412,6326,294
"Congressional District 1 (119th Congress), Alabama",Asian and White,5001900US0101,9,3315,508,1837,319,3290,500,1813,315
"Congressional District 1 (119th Congress), Alabama",Black or African American and White,5001900US0101,10,7944,924,2464,451,7943,924,2461,451
"Congressional District 1 (119th Congress), Alabama",American Indian or Alaska Native and Black or African American,5001900US0101,11,502,198,423,160,503,198,426,160
"Congressional District 1 (119th Congress), Alabama",Remainder of Two or More Race Responses,5001900US0101,12,3255,1106,1810,613,3256,1106,1810,613
"Congressional District 1 (119th Congress), Alabama",Hispanic or Latino,5001900US0101,13,37528,838,24020,565,30746,1196,17801,964
"Congressional District 2 (119th Congress), Alabama",Total,5001900US0102,1,710300,3002,548483,2158,695040,3293,535317,2408
"Congressional District 2 (119th Congress), Alabama",Not Hispanic or Latino,5001900US0102,2,682748,2909,531677,2167,673586,3106,523977,2316
"Congressional District 2 (119th Congress), Alabama",American Indian or Alaska Native Alone,5001900US0102,3,2164,304,1986,299,2144,308,1973,302
"Congressional District 2 (119th Congress), Alabama",Asian Alone,5001900US0102,4,14513,760,11598,476,8876,748,6728,530
"Congressional District 2 (119th Congress), Alabama",Black or African American Alone,5001900US0102,5,357468,2671,269786,1596,355947,2670,268769,1638
"Congressional District 2 (119th Congress), Alabama",Native Hawaiian or Other Pacific Islander Alone,5001900US0102,6,186,114,164,99,181,112,160,97
"Congressional District 2 (119th Congress), Alabama",White Alone,5001900US0102,7,291098,2914,237998,2218,289257,3000,236335,2291
"Congressional District 2 (119th Congress), Alabama",American Indian or Alaska Native and White,5001900US0102,8,4170,361,3386,296,4170,361,3383,296
"Congressional District 2 (119th Congress), Alabama",Asian and White,5001900US0102,9,2189,429,1065,242,2126,422,1015,233
