geoname,lntitle,geoid,lnnumber,cvap_est
"State Senate District 1 (2024), Alabama",Total,610U900US01001,1,119219
"State Senate District 1 (2024), Alabama",Not Hispanic or Latino,610U900US01001,2,116969
"State Senate District 1 (2024), Alabama",American Indian or Alaska Native Alone,610U900US01001,3,238
"State Senate District 1 (2024), Alabama",Asian Alone,610U900US01001,4,783
"State Senate District 1 (2024), Alabama",Black or African American Alone,610U900US01001,5,9765
"State Senate District 1 (2024), Alabama",Native Hawaiian or Other Pacific Islander Alone,610U900US01001,6,27
"State Senate District 1 (2024), Alabama",White Alone,610U900US01001,7,103392
"State Senate District 1 (2024), Alabama",American Indian or Alaska Native and White,610U900US01001,8,1046
"State Senate District 1 (2024), Alabama",Asian and White,610U900US01001,9,264
"State Senate District 1 (2024), Alabama",Black or African American and White,610U900US01001,10,1068
"State Senate District 1 (2024), Alabama",American Indian or Alaska Native and Black or African American,610U900US01001,11,7
"State Senate District 1 (2024), Alabama",Remainder of Two or More Race Responses,610U900US01001,12,370
"State Senate District 1 (2024), Alabama",Hispanic or Latino,610U900US01001,13,2251
"State Senate District 2 (2024), Alabama",Total,610U900US01002,1,122168
"State Senate District 2 (2024), Alabama",Not Hispanic or Latino,610U900US01002,2,116482
"State Senate District 2 (2024), Alabama",American Indian or Alaska Native Alone,610U900US01002,3,309
"State Senate District 2 (2024), Alabama",Asian Alone,610U900US01002,4,2626
"State Senate District 2 (2024), Alabama",Black or African American Alone,610U900US01002,5,34120
"State Senate District 2 (2024), Alabama",Native Hawaiian or Other Pacific Islander Alone,610U900US01002,6,81
"State Senate District 2 (2024), Alabama",White Alone,610U900US01002,7,75626
"State Senate District 2 (2024), Alabama",American Indian or Alaska Native and White,610U900US01002,8,979
"State Senate District 2 (2024), Alabama",Asian and White,610U900US01002,9,820
"State Senate District 2 (2024), Alabama",Black or African American and White,610U900US01002,10,624
"State Senate District 2 (2024), Alabama",American Indian or Alaska Native and Black or African American,610U900US01002,11,486
"State Senate District 2 (2024), Alabama",Remainder of Two or More Race Responses,610U900US01002,12,809
"State Senate District 2 (2024), Alabama",Hispanic or Latino,610U900US01002,13,5684
"State Senate District 3 (2024), Alabama",Total,610U900US01003,1,113462
"State Senate District 3 (2024), Alabama",Not Hispanic or Latino,610U900US01003,2,108191
"State Senate District 3 (2024), Alabama",American Indian or Alaska Native Alone,610U900US01003,3,463
"State Senate District 3 (2024), Alabama",Asian Alone,610U900US01003,4,1255
"State Senate District 3 (2024), Alabama",Black or African American Alone,610U900US01003,5,18107
"State Senate District 3 (2024), Alabama",Native Hawaiian or Other Pacific Islander Alone,610U900US01003,6,10
"State Senate District 3 (2024), Alabama",White Alone,610U900US01003,7,85256
"State Senate District 3 (2024), Alabama",American Indian or Alaska Native and White,610U900US01003,8,1538
"State Senate District 3 (2024), Alabama",Asian and White,610U900US01003,9,251
"State Senate District 3 (2024), Alabama",Black or African American and White,610U900US01003,10,891
"State Senate District 3 (2024), Alabama",American Indian or Alaska Native and Black or African American,610U900US01003,11,265
"State Senate District 3 (2024), Alabama",Remainder of Two or More Race Responses,610U900US01003,12,152
"State Senate District 3 (2024), Alabama",Hispanic or Latino,610U900US01003,13,5272
"State Senate District 4 (2024), Alabama",Total,610U900US01004,1,110333
"State Senate District 4 (2024), Alabama",Not Hispanic or Latino,610U900US01004,2,107948
"State Senate District 4 (2024), Alabama",American Indian or Alaska Native Alone,610U900US01004,3,256
"State Senate District 4 (2024), Alabama",Asian Alone,610U900US01004,4,465
"State Senate District 4 (2024), Alabama",Black or African American Alone,610U900US01004,5,1667
"State Senate District 4 (2024), Alabama",Native Hawaiian or Other Pacific Islander Alone,610U900US01004,6,38
"State Senate District 4 (2024), Alabama",White Alone,610U900US01004,7,103686
"State Senate District 4 (2024), Alabama",American Indian or Alaska Native and White,610U900US01004,8,1150
"State Senate District 4 (2024), Alabama",Asian and White,610U900US01004,9,134
"State Senate District 4 (2024), Alabama",Black or African American and White,610U900US01004,10,375
"State Senate District 4 (2024), Alabama",American Indian or Alaska Native and Black or African American,610U900US01004,11,41
"State Senate District 4 (2024), Alabama",Remainder of Two or More Race Responses,610U900US01004,12,143
"State Senate District 4 (2024), Alabama",Hispanic or Latino,610U900US01004,13,2382
"State Senate District 5 (2024), Alabama",Total,610U900US01005,1,104412
"State Senate District 5 (2024), Alabama",Not Hispanic or Latino,610U900US01005,2,103107
"State Senate District 5 (2024), Alabama",American Indian or Alaska Native Alone,610U900US01005,3,106
"State Senate District 5 (2024), Alabama",Asian Alone,610U900US01005,4,228
"State Senate District 5 (2024), Alabama",Black or African American Alone,610U900US01005,5,6832
"State Senate District 5 (2024), Alabama",Native Hawaiian or Other Pacific Islander Alone,610U900US01005,6,26
"State Senate District 5 (2024), Alabama",White Alone,610U900US01005,7,94031
"State Senate District 5 (2024), Alabama",American Indian or Alaska Native and White,610U900US01005,8,1039
"State Senate District 5 (2024), Alabama",Asian and White,610U900US01005,9,84
"State Senate District 5 (2024), Alabama",Black or African American and White,610U900US01005,10,548
"State Senate District 5 (2024), Alabama",American Indian or Alaska Native and Black or African American,610U900US01005,11,0
"State Senate District 5 (2024), Alabama",Remainder of Two or More Race Responses,610U900US01005,12,220
"State Senate District 5 (2024), Alabama",Hispanic or Latino,610U900US01005,13,1302
"State Senate District 6 (2024), Alabama",Total,610U900US01006,1,111730
"State Senate District 6 (2024), Alabama",Not Hispanic or Latino,610U900US01006,2,107210
"State Senate District 6 (2024), Alabama",American Indian or Alaska Native Alone,610U900US01006,3,1176
"State Senate District 6 (2024), Alabama",Asian Alone,610U900US01006,4,436
"State Senate District 6 (2024), Alabama",Black or African American Alone,610U900US01006,5,14789
"State Senate District 6 (2024), Alabama",Native Hawaiian or Other Pacific Islander Alone,610U900US01006,6,34
"State Senate District 6 (2024), Alabama",White Alone,610U900US01006,7,87125
"State Senate District 6 (2024), Alabama",American Indian or Alaska Native and White,610U900US01006,8,2425
"State Senate District 6 (2024), Alabama",Asian and White,610U900US01006,9,230
"State Senate District 6 (2024), Alabama",Black or African American and White,610U900US01006,10,765
"State Senate District 6 (2024), Alabama",American Indian or Alaska Native and Black or African American,610U900US01006,11,78
"State Senate District 6 (2024), Alabama",Remainder of Two or More Race Responses,610U900US01006,12,159
"State Senate District 6 (2024), Alabama",Hispanic or Latino,610U900US01006,13,4519
"State Senate District 7 (2024), Alabama",Total,610U900US01007,1,117048
"State Senate District 7 (2024), Alabama",Not Hispanic or Latino,610U900US01007,2,112526
"State Senate District 7 (2024), Alabama",American Indian or Alaska Native Alone,610U900US01007,3,315
"State Senate District 7 (2024), Alabama",Asian Alone,610U900US01007,4,1484
"State Senate District 7 (2024), Alabama",Black or African American Alone,610U900US01007,5,28510
"State Senate District 7 (2024), Alabama",Native Hawaiian or Other Pacific Islander Alone,610U900US01007,6,35
"State Senate District 7 (2024), Alabama",White Alone,610U900US01007,7,78552
"State Senate District 7 (2024), Alabama",American Indian or Alaska Native and White,610U900US01007,8,1037
"State Senate District 7 (2024), Alabama",Asian and White,610U900US01007,9,775
"State Senate District 7 (2024), Alabama",Black or African American and White,610U900US01007,10,761
"State Senate District 7 (2024), Alabama",American Indian or Alaska Native and Black or African American,610U900US01007,11,642
"State Senate District 7 (2024), Alabama",Remainder of Two or More Race Responses,610U900US01007,12,409
"State Senate District 7 (2024), Alabama",Hispanic or Latino,610U900US01007,13,4528
"State Senate District 8 (2024), Alabama",Total,610U900US01008,1,114984
"State Senate District 8 (2024), Alabama",Not Hispanic or Latino,610U900US01008,2,111173
"State Senate District 8 (2024), Alabama",American Indian or Alaska Native Alone,610U900US01008,3,707
"State Senate District 8 (2024), Alabama",Asian Alone,610U900US01008,4,621
"State Senate District 8 (2024), Alabama",Black or African American Alone,610U900US01008,5,8444
"State Senate District 8 (2024), Alabama",Native Hawaiian or Other Pacific Islander Alone,610U900US01008,6,4
"State Senate District 8 (2024), Alabama",White Alone,610U900US01008,7,97365
"State Senate District 8 (2024), Alabama",American Indian or Alaska Native and White,610U900US01008,8,2675
"State Senate District 8 (2024), Alabama",Asian and White,610U900US01008,9,222
"State Senate District 8 (2024), Alabama",Black or African American and White,610U900US01008,10,773
"State Senate District 8 (2024), Alabama",American Indian or Alaska Native and Black or African American,610U900US01008,11,158
"State Senate District 8 (2024), Alabama",Remainder of Two or More Race Responses,610U900US01008,12,211
"State Senate District 8 (2024), Alabama",Hispanic or Latino,610U900US01008,13,3809
"State Senate District 9 (2024), Alabama",Total,610U900US01009,1,108130
"State Senate District 9 (2024), Alabama",Not Hispanic or Latino,610U900US01009,2,100643
"State Senate District 9 (2024), Alabama",American Indian or Alaska Native Alone,610U900US01009,3,350
"State Senate District 9 (2024), Alabama",Asian Alone,610U900US01009,4,1163
"State Senate District 9 (2024), Alabama",Black or African American Alone,610U900US01009,5,4292
"State Senate District 9 (2024), Alabama",Native Hawaiian or Other Pacific Islander Alone,610U900US01009,6,117
"State Senate District 9 (2024), Alabama",White Alone,610U900US01009,7,92246
"State Senate District 9 (2024), Alabama",American Indian or Alaska Native and White,610U900US01009,8,1368
"State Senate District 9 (2024), Alabama",Asian and White,610U900US01009,9,395
"State Senate District 9 (2024), Alabama",Black or African American and White,610U900US01009,10,358
