geoname,Total,American Indian or Alaska Native Alone,Asian Alone,Black or African American Alone,Native Hawaiian or Other Pacific Islander Alone,White Alone,Hispanic or Latino,American Indian or Alaska Native Alone %,Asian Alone %,Black or African American Alone %,Native Hawaiian or Other Pacific Islander Alone %,White Alone %,Hispanic or Latino %
"Congressional District (at Large), Alaska",538819,68109,28657,16582,6266,347344,32606,12.64,5.32,3.08,1.16,64.46,6.05
"Congressional District (at Large), Delaware",764114,1133,22757,161288,221,505731,52329,0.15,2.98,21.11,0.03,66.19,6.85
"Congressional District (at Large), North Dakota",581736,21664,4497,12346,560,509563,19710,3.72,0.77,2.12,0.1,87.59,3.39
"Congressional District (at Large), South Dakota",669728,41203,5995,10007,245,575918,18081,6.15,0.9,1.49,0.04,85.99,2.7
"Congressional District (at Large), Vermont",521797,634,6478,5264,32,486424,11586,0.12,1.24,1.01,0.01,93.22,2.22
"Congressional District (at Large), Wyoming",440292,6484,2513,3452,287,382629,34241,1.47,0.57,0.78,0.07,86.9,7.78
"Congressional District 1, Alabama",559435,2697,5603,87067,203,433233,17801,0.48,1.0,15.56,0.04,77.44,3.18
"Congressional District 1, Arizona",621060,7587,19495,20112,1173,476907,79451,1.22,3.14,3.24,0.19,76.79,12.79
"Congressional District 1, Arkansas",568995,1366,2310,90719,298,446068,13902,0.24,0.41,15.94,0.05,78.4,2.44
"Congressional District 1, California",549210,6541,27679,10965,1363,387157,94539,1.19,5.04,2.0,0.25,70.49,17.21
"Congressional District 1, Colorado",542544,1750,16910,46192,786,349383,109638,0.32,3.12,8.51,0.14,64.4,20.21
"Congressional District 1, Connecticut",534442,201,19938,73927,155,344188,84101,0.04,3.73,13.83,0.03,64.4,15.74
"Congressional District 1, Florida",600399,1115,13739,74204,581,451105,35809,0.19,2.29,12.36,0.1,75.13,5.96
"Congressional District 1, Georgia",583358,675,8591,165853,533,359558,32647,0.12,1.47,28.43,0.09,61.64,5.6
"Congressional District 1, Hawaii",524553,536,267515,11548,30306,90706,36724,0.1,51.0,2.2,5.78,17.29,7.0
