geoname,Total,American Indian or Alaska Native Alone,Asian Alone,Black or African American Alone,Native Hawaiian or Other Pacific Islander Alone,White Alone,Hispanic or Latino,American Indian or Alaska Native Alone %,Asian Alone %,Black or African American Alone %,Native Hawaiian or Other Pacific Islander Alone %,White Alone %,Hispanic or Latino %
"10th Bristol District (2024), Massachusetts",35369,66,241,450,153,33234,802,0.19,0.68,1.27,0.43,93.96,2.27
"10th Essex District (2024), Massachusetts",25394,34,1325,2897,57,11305,9310,0.13,5.22,11.41,0.22,44.52,36.66
"10th Hampden District (2024), Massachusetts",28721,37,825,4539,0,5984,16809,0.13,2.87,15.8,0.0,20.83,58.53
"10th Middlesex District (2024), Massachusetts",30043,55,3117,1736,60,21550,2691,0.18,10.38,5.78,0.2,71.73,8.96
"10th Norfolk District (2024), Massachusetts",32457,3,1388,430,0,28745,1260,0.01,4.28,1.32,0.0,88.56,3.88
"10th Plymouth District (2024), Massachusetts",28865,67,772,12188,0,12177,2887,0.23,2.67,42.22,0.0,42.19,10.0
"10th Suffolk District (2024), Massachusetts",33412,30,2086,1182,15,26798,2612,0.09,6.24,3.54,0.04,80.2,7.82
"10th Worcester District (2024), Massachusetts",28255,46,675,634,9,24381,2210,0.16,2.39,2.24,0.03,86.29,7.82
"11th Bristol District (2024), Massachusetts",26461,84,247,2801,0,16059,6320,0.32,0.93,10.59,0.0,60.69,23.88
"11th Essex District (2024), Massachusetts",28810,24,2543,3012,0,13817,8552,0.08,8.83,10.45,0.0,47.96,29.68
"11th Hampden District (2024), Massachusetts",30960,63,362,7304,0,10976,11257,0.2,1.17,23.59,0.0,35.45,36.36
"11th Middlesex District (2024), Massachusetts",32780,32,3713,994,8,25805,1338,0.1,11.33,3.03,0.02,78.72,4.08
"11th Norfolk District (2024), Massachusetts",32884,0,1385,1362,0,27862,1734,0.0,4.21,4.14,0.0,84.73,5.27
"11th Plymouth District (2024), Massachusetts",24456,43,570,13897,0,6768,2589,0.18,2.33,56.82,0.0,27.67,10.59
"11th Suffolk District (2024), Massachusetts",21308,1,692,2402,26,7120,10250,0.0,3.25,11.27,0.12,33.41,48.1
"11th Worcester District (2024), Massachusetts",27446,2,3726,752,0,21474,1249,0.01,13.58,2.74,0.0,78.24,4.55
"12th Bristol District (2024), Massachusetts",35903,107,449,1376,37,32601,793,0.3,1.25,3.83,0.1,90.8,2.21
"12th Essex District (2024), Massachusetts",34203,0,777,1303,0,27506,4004,0.0,2.27,3.81,0.0,80.42,11.71
"12th Hampden District (2024), Massachusetts",33565,2,434,2834,15,25415,4174,0.01,1.29,8.44,0.04,75.72,12.44
"12th Middlesex District (2024), Massachusetts",31358,0,4945,438,8,24270,1071,0.0,15.77,1.4,0.03,77.4,3.42
"12th Norfolk District (2024), Massachusetts",31190,7,975,1863,0,25846,1961,0.02,3.13,5.97,0.0,82.87,6.29
"12th Plymouth District (2024), Massachusetts",35820,6,168,409,61,33834,624,0.02,0.47,1.14,0.17,94.46,1.74
"12th Suffolk District (2024), Massachusetts",31936,71,1078,19528,2,6731,3727,0.22,3.38,61.15,0.01,21.08,11.67
"12th Worcester District (2024), Massachusetts",34564,11,596,638,1,30166,2737,0.03,1.72,1.85,0.0,87.28,7.92
"13th Bristol District (2024), Massachusetts",28058,22,169,2316,10,20736,3969,0.08,0.6,8.25,0.04,73.9,14.15
"13th Essex District (2024), Massachusetts",35480,3,713,605,45,32199,1394,0.01,2.01,1.71,0.13,90.75,3.93
"13th Middlesex District (2024), Massachusetts",29881,63,2331,322,26,25750,886,0.21,7.8,1.08,0.09,86.18,2.97
"13th Norfolk District (2024), Massachusetts",30960,14,2374,401,24,27105,712,0.05,7.67,1.3,0.08,87.55,2.3
"13th Suffolk District (2024), Massachusetts",31940,177,4915,5943,51,16797,3330,0.55,15.39,18.61,0.16,52.59,10.43
"13th Worcester District (2024), Massachusetts",36160,3,1388,2569,39,27578,3774,0.01,3.84,7.1,0.11,76.27,10.44
"14th Bristol District (2024), Massachusetts",32525,36,1238,1147,0,28819,755,0.11,3.81,3.53,0.0,88.61,2.32
"14th Essex District (2024), Massachusetts",35561,7,1172,577,0,31367,1855,0.02,3.3,1.62,0.0,88.21,5.22
"14th Middlesex District (2024), Massachusetts",31449,2,3275,777,0,25720,1173,0.01,10.41,2.47,0.0,81.78,3.73
