geoname,Total,American Indian or Alaska Native Alone,Asian Alone,Black or African American Alone,Native Hawaiian or Other Pacific Islander Alone,White Alone,Hispanic or Latino
"Addison Senatorial District (2024), Vermont",33438,9,448,197,0,31200,880
"Bennington Senatorial District (2024), Vermont",33553,15,199,278,3,31568,838
"Berkshire-Hampden-Franklin-Hampshire District (2024), Massachusetts",137062,141,1579,2352,13,125441,4947
"Bristol and Norfolk District (2024), Massachusetts",136805,86,7249,6628,83,115038,5567
"Caledonia Senatorial District (2024), Vermont",18460,22,80,108,2,17509,246
"Cape and Islands District (2024), Massachusetts",143039,230,1410,4164,25,130069,4537
"Chittenden Central Senatorial District (2024), Vermont",55593,13,2228,2032,2,47785,1835
"Chittenden North Senatorial District (2024), Vermont",17991,0,270,216,0,16751,279
"Chittenden South East Senatorial District (2024), Vermont",53918,97,1440,416,28,49654,1172
"Essex Senatorial District (2024), Vermont",19017,113,95,251,0,17996,268
"Fifth Middlesex District (2024), Massachusetts",128825,49,14555,6522,6,99058,6524
"First Bristol and Plymouth District (2024), Massachusetts",128368,86,2618,3621,1,112519,7058
"First Essex District (2024), Massachusetts",101812,18,2727,3348,0,44422,50254
"First Essex and Middlesex District (2024), Massachusetts",141686,28,2762,1062,0,132137,3931
"First Middlesex District (2024), Massachusetts",122985,18,17224,7453,12,81284,15458
"First Plymouth and Norfolk District (2024), Massachusetts",134503,56,3890,1997,23,124166,3107
"First Suffolk District (2024), Massachusetts",139393,363,15674,29591,132,75907,14400
"First Worcester District (2024), Massachusetts",119257,26,5675,8563,56,79857,22250
"Fourth Middlesex District (2024), Massachusetts",130396,75,12391,2680,81,107312,5519
"Franklin Senatorial District (2024), Vermont",34915,113,86,82,5,32921,584
"Grand Isle Senatorial District (2024), Vermont",16042,71,141,92,0,14981,378
"Hampden District (2024), Massachusetts",118825,103,1873,18645,0,44286,51491
"Hampden and Hampshire District (2024), Massachusetts",129247,54,2054,2968,8,100835,21193
"Hampden-Hampshire-Worcester District (2024), Massachusetts",132819,54,3030,4354,9,112423,10568
"Hampshire-Franklin-Worcester District (2024), Massachusetts",135643,44,4771,3214,16,116696,7398
"Lamoille Senatorial District (2024), Vermont",17566,32,138,219,0,16506,359
"Legislative (Senate) District 1 (2024), Washington",108889,316,14031,2625,268,80944,5977
"Legislative (Senate) District 10 (2024), Washington",124185,1091,4353,2066,415,102497,8888
"Legislative (Senate) District 11 (2024), Washington",103425,542,24665,11122,1184,49867,9625
"Legislative (Senate) District 12 (2024), Washington",110750,911,2524,1024,139,90173,12792
"Legislative (Senate) District 13 (2024), Washington",105757,721,1080,1077,65,77706,22088
"Legislative (Senate) District 14 (2024), Washington",77953,3865,803,761,244,27437,42352
"Legislative (Senate) District 15 (2024), Washington",108073,651,1446,983,99,74469,27494
"Legislative (Senate) District 16 (2024), Washington",113335,428,2423,1722,316,84020,20934
"Legislative (Senate) District 17 (2024), Washington",118268,708,6624,1922,553,95335,8562
"Legislative (Senate) District 18 (2024), Washington",118051,250,5002,1831,301,97109,8768
"Legislative (Senate) District 19 (2024), Washington",125004,1977,1470,1287,517,106744,7820
"Legislative (Senate) District 2 (2024), Washington",114951,1183,5594,5076,1822,83566,10786
"Legislative (Senate) District 20 (2024), Washington",120745,837,1653,704,305,107139,6507
"Legislative (Senate) District 21 (2024), Washington",108638,585,15788,4889,883,73004,8028
"Legislative (Senate) District 22 (2024), Washington",123816,667,7851,4250,1292,94492,9611
"Legislative (Senate) District 23 (2024), Washington",123197,1286,5932,3407,1071,96644,8162
"Legislative (Senate) District 24 (2024), Washington",130754,3444,1873,866,100,113744,5348
"Legislative (Senate) District 25 (2024), Washington",112885,689,5885,6138,1506,82249,8790
"Legislative (Senate) District 26 (2024), Washington",122500,715,4181,1547,696,100188,8244
"Legislative (Senate) District 27 (2024), Washington",122453,724,7861,10643,1038,83844,10638
"Legislative (Senate) District 28 (2024), Washington",114360,685,8645,11590,1643,69434,13505
"Legislative (Senate) District 29 (2024), Washington",108268,1510,11862,13362,3088,56928,12425
"Legislative (Senate) District 3 (2024), Washington",121426,1011,2369,3034,176,101267,7808
"Legislative (Senate) District 30 (2024), Washington",98116,466,14458,12362,2788,50534,11286
"Legislative (Senate) District 31 (2024), Washington",114313,1466,5581,2510,888,91025,7839
"Legislative (Senate) District 32 (2024), Washington",118868,333,15410,7354,504,80108,8243
"Legislative (Senate) District 33 (2024), Washington",100681,262,14913,13221,1523,53892,11730
