geoname,Total,American Indian or Alaska Native Alone,Asian Alone,Black or African American Alone,Native Hawaiian or Other Pacific Islander Alone,White Alone,Hispanic or Latino,American Indian or Alaska Native Alone %,Asian Alone %,Black or African American Alone %,Native Hawaiian or Other Pacific Islander Alone %,White Alone %,Hispanic or Latino %
"Addison Senatorial District (2024), Vermont",33438,9,448,197,0,31200,880,0.03,1.34,0.59,0.0,93.31,2.63
"Bennington Senatorial District (2024), Vermont",33553,15,199,278,3,31568,838,0.04,0.59,0.83,0.01,94.08,2.5
"Berkshire-Hampden-Franklin-Hampshire District (2024), Massachusetts",137062,141,1579,2352,13,125441,4947,0.1,1.15,1.72,0.01,91.52,3.61
"Bristol and Norfolk District (2024), Massachusetts",136805,86,7249,6628,83,115038,5567,0.06,5.3,4.84,0.06,84.09,4.07
"Caledonia Senatorial District (2024), Vermont",18460,22,80,108,2,17509,246,0.12,0.43,0.59,0.01,94.85,1.33
"Cape and Islands District (2024), Massachusetts",143039,230,1410,4164,25,130069,4537,0.16,0.99,2.91,0.02,90.93,3.17
"Chittenden Central Senatorial District (2024), Vermont",55593,13,2228,2032,2,47785,1835,0.02,4.01,3.66,0.0,85.96,3.3
"Chittenden North Senatorial District (2024), Vermont",17991,0,270,216,0,16751,279,0.0,1.5,1.2,0.0,93.11,1.55
"Chittenden South East Senatorial District (2024), Vermont",53918,97,1440,416,28,49654,1172,0.18,2.67,0.77,0.05,92.09,2.17
"Essex Senatorial District (2024), Vermont",19017,113,95,251,0,17996,268,0.59,0.5,1.32,0.0,94.63,1.41
"Fifth Middlesex District (2024), Massachusetts",128825,49,14555,6522,6,99058,6524,0.04,11.3,5.06,0.0,76.89,5.06
"First Bristol and Plymouth District (2024), Massachusetts",128368,86,2618,3621,1,112519,7058,0.07,2.04,2.82,0.0,87.65,5.5
"First Essex District (2024), Massachusetts",101812,18,2727,3348,0,44422,50254,0.02,2.68,3.29,0.0,43.63,49.36
"First Essex and Middlesex District (2024), Massachusetts",141686,28,2762,1062,0,132137,3931,0.02,1.95,0.75,0.0,93.26,2.77
"First Middlesex District (2024), Massachusetts",122985,18,17224,7453,12,81284,15458,0.01,14.0,6.06,0.01,66.09,12.57
